Date,WTI,Brent
2012-07-15,87.9,102.62
2012-08-15,94.13,113.36
2012-09-15,94.51,112.86
2012-10-15,89.49,111.71
2012-11-15,86.53,109.06
2012-12-15,87.86,109.49
2013-01-15,94.76,112.96
2013-02-15,95.31,116.05
2013-03-15,92.94,108.47
2013-04-15,92.02,102.25
2013-05-15,94.51,102.56
2013-06-15,95.77,102.92
2013-07-15,104.67,107.93
2013-08-15,106.57,111.28
2013-09-15,106.29,111.6
2013-10-15,100.54,109.08
2013-11-15,93.86,107.79
2013-12-15,97.63,110.76
2014-01-15,94.62,108.12
2014-02-15,100.82,108.9
2014-03-15,100.8,107.48
2014-04-15,102.07,107.76
2014-05-15,102.18,109.54
2014-06-15,105.79,111.8
2014-07-15,103.59,106.77
2014-08-15,96.54,101.61
2014-09-15,93.21,97.09
2014-10-15,84.4,87.43
2014-11-15,75.79,79.44
2014-12-15,59.29,62.34
2015-01-15,47.22,47.76
2015-02-15,50.58,58.1
2015-03-15,47.82,55.89
2015-04-15,54.45,59.52
2015-05-15,59.27,64.08
2015-06-15,59.82,61.48
2015-07-15,50.9,56.56
2015-08-15,42.87,46.52
2015-09-15,45.48,47.62
2015-10-15,46.22,48.43
2015-11-15,42.44,44.27
2015-12-15,37.19,38.01
2016-01-15,31.68,30.7
2016-02-15,30.32,32.18
